formid,Training_Date,Training_Title,EW_ID,Gender,Gender_and_Age,Disability_Status_class,State,LGA
22796bea-c665-44c9-b192-4d930f8c407f,2023-12-19,Comm._Partner_Registration,Ika29,Female,Female Youth,No disability,Kaduna,Ikara
29af2e94-71d6-4b9c-99d1-c2131cf84376,2023-12-18,Comm._Partner_Registration,Jah68,Male,Male Youth,No disability,Jigawa,Jahun
594a19c9-9c32-4ccf-b2bf-0decfa413bf2,2023-12-19,Comm._Partner_Registration,Ika30,Female,Female Youth,No disability,Kaduna,Ikara
ed434bbe-bb0b-4439-a30b-29346753c574,2023-12-18,Comm._Partner_Registration,Jah69,Male,Male Youth,No disability,Jigawa,Jahun
4274e9e7-cdf5-45b1-a02f-d4090a02ce2b,2023-12-19,Comm._Partner_Registration,Alk01,Male,Male Youth,No disability,Bauchi,Alkaleri
b01ce4fa-a190-4320-84dd-f3dc24afd767,2023-12-19,Comm._Partner_Registration,Ika31,Male,Male Youth,No disability,Kaduna,Ikara
3bdc5b37-4843-4939-9d87-4712f6d642fe,2023-12-19,Comm._Partner_Registration,Ika32,Male,Male Youth,No disability,Kaduna,Ikara
99eac73d-f5c5-456e-8357-5df2353d0073,2023-12-18,Comm._Partner_Registration,Jah70,Male,Male Youth,No disability,Jigawa,Jahun
a76dde90-a334-4ea5-a106-8f85e7e2508e,2023-12-19,Comm._Partner_Registration,Alk02,Male,Male Youth,No disability,Bauchi,Alkaleri
9c442488-85ff-4e94-bdb8-5169cfc14f7c,2023-12-19,Comm._Partner_Registration,Ika33,Female,Female Youth,No disability,Kaduna,Ikara
